oltra_id,oltra_hotelid,oltra_hotel_name,oltra_city,oltra_country,agoda_hotel_id,agoda_search_phrase,agoda_hotel_name,agoda_city,agoda_country,agoda_photo1,agoda_photo2,agoda_photo3,agoda_photo4,agoda_photo5,toolkit_html_or_image_url,notes
1626,,Banyan Tree Mayakoba,Riviera Maya,Mexico,2459368,"Banyan Tree Mayakoba, Playa Del Carmen, Mexico",Banyan Tree Mayakoba,Playa Del Carmen,Mexico,http://pix3.agoda.net/hotelimages/2459368/-1/b9556b75cf6f0bfc85399fc209a49f5e.jpg?s=312x&ca=25&ce=0,http://pix4.agoda.net/hotelimages/2459368/-1/dbf4fc64e5a0479116bbad6583736ba1.jpg?s=312x&ca=25&ce=0,http://pix2.agoda.net/hotelimages/2459368/-1/4e7f027169b7fe43975437c63bb8b63d.jpg?s=312x&ca=25&ce=0,http://pix3.agoda.net/hotelimages/2459368/-1/942a075d8147044743e96dd7e57aeeb1.jpg?s=312x&ca=25&ce=0,http://pix1.agoda.net/hotelimages/2459368/-1/cf96c6db0638d25f92888a3a1107d38d.jpg?s=312x&ca=25&ce=0,,
1627,,Casa Chablé,Sian Ka´an Reserve,Mexico,,,,,,,,,,,,
1628,,Chable Maroma,Riviera Maya,Mexico,5879804,"Chable Maroma, Puerto Morelos, Mexico",Chable Maroma,Puerto Morelos,Mexico,,,,,,,
1629,,Chablé Yucatan,Chochola,Mexico,5956299,"Chable Yucatan, Chocholá, Mexico",Chable Yucatan,Chocholá,Mexico,http://q-xx.bstatic.com/xdata/images/hotel/840x460/700168860.jpg?k=2d35266a267966ce50389d7ad1230ba97e929d252b5691c88aaa7d465a8e8f68&o=,,,,,,
1630,,Esperanza,Cabo San Lucas,Mexico,2268538,"Hotel Esperanza, Mazatlán, Mexico",Hotel Esperanza,Mazatlán,Mexico,,,,,,,
1631,,Etéreo,Quintana Roo,Mexico,28020211,"Etereo, Auberge Collection, Playa Del Carmen, Mexico","Etereo, Auberge Collection",Playa Del Carmen,Mexico,,,,,,,
1632,,Four Seasons Los Cabos,Los Cabos,Mexico,6580794,"Four Seasons Resort Los Cabos at Costa Palmas, La Ribera, Mexico",Four Seasons Resort Los Cabos at Costa Palmas,La Ribera,Mexico,http://pix8.agoda.net/hotelImages/6580794/-1/59b1c6d1a0d1360f70f44cfafdb28357.jpg?ca=8&ce=1&s=800x600,http://pix3.agoda.net/hotelimages/6580794/-1/59b1c6d1a0d1360f70f44cfafdb28357.jpg?s=312x&ca=8&ce=1,,,,,
1633,,Four Seasons Resort Punta Mita,Punta Mita,Mexico,217314,"Four Seasons Resort Punta Mita, Punta Mita, Mexico",Four Seasons Resort Punta Mita,Punta Mita,Mexico,http://pix1.agoda.net/hotelimages/217314/-1/c41b29301cd1c72f87de61bcc49bb253.jpg?s=312x&ca=0&ce=1,http://pix1.agoda.net/hotelimages/217/217314/217314_16080211590045120477.jpg?s=312x&ca=6&ce=1,http://pix4.agoda.net/hotelimages/217314/-1/a622c7c7aee8182ab3450e07184040ba.jpg?s=312x&ca=0&ce=1,http://pix4.agoda.net/hotelimages/217314/-1/237b99911599b2aa70b3d292a1ad198b.jpg?s=312x&ca=0&ce=1,http://pix3.agoda.net/hotelimages/217314/-1/36f07b6fbeb2dac4fb603f94df6aea89.jpg?s=312x&ca=0&ce=1,,
1634,,Hotel Esencia,Carretera,Mexico,32637325,"Hotel Esencia, Tulum, Mexico",Hotel Esencia,Tulum,Mexico,,,,,,,
1635,,Imanta Resorts,Higuera Blanca,Mexico,18469965,"Imanta Resorts Punta De Mita, Litibu, Mexico",Imanta Resorts Punta De Mita,Litibu,Mexico,http://pix1.agoda.net/hotelimages/18469965/-1/62441be2aa3d621ff30e71471a6e0afc.jpg?s=312x&ca=14&ce=1,http://pix1.agoda.net/hotelimages/184/18469965/18469965_20100704570092658062.jpg?s=312x&ca=14&ce=1,http://pix3.agoda.net/hotelimages/184/18469965/18469965_20100800300092672194.jpg?s=312x&ca=14&ce=1,http://pix2.agoda.net/hotelimages/184/18469965/18469965_20100800300092672195.jpg?s=312x&ca=14&ce=1,http://pix4.agoda.net/hotelimages/184/18469965/18469965_20100800300092672196.jpg?s=312x&ca=14&ce=1,,
1636,,Las Ventanas Al Paraiso,San Jose del Cabo,Mexico,15294337,"Las Ventanas Al Paraiso A Rosewood Resort, San Jose Del Cabo, Mexico",Las Ventanas Al Paraiso A Rosewood Resort,San Jose Del Cabo,Mexico,,,,,,,
